station_location,earliest_date,latest_date,%missing_water_temp,%missing_air_temp
hudsc,2002-04-08 11:30:00,2021-12-31 23:45:00,27.188000189101025,
heekk,2020-01-01 00:00:00,2024-09-17 06:45:00,15.885791747860715,
cbmmc,2003-04-22 09:30:00,2024-09-16 11:00:00,21.388419597604056,
sfbgc,2006-01-01 00:00:00,2024-10-02 23:30:00,3.472944744207054,
wkbwb,1995-10-27 13:00:00,2024-09-18 11:15:00,10.18958052372827,10.46009077226068
apaeb,1995-05-01 00:00:00,2024-10-03 02:00:00,7.947969778853585,7.747028454796494
marcw,2007-07-11 09:30:00,2024-08-21 09:15:00,4.66670245204903,
welin,1995-05-29 13:00:00,2024-10-03 02:15:00,6.400305197439733,
wqbmh,2001-03-28 16:30:00,2024-10-03 02:00:00,4.951194065722776,
owcwm,1995-05-24 12:00:00,2024-10-03 02:15:00,19.90979859822146,
cbmrr,2003-04-04 13:00:00,2024-10-03 02:30:00,2.31162191596924,
job19,2002-04-01 09:30:00,2024-09-17 09:00:00,12.668859279660708,
marmb,2008-01-01 00:00:00,2024-10-03 01:15:00,2.628300604696176,
pdbbp,2001-07-01 00:00:00,2024-10-02 23:15:00,1.3270458623711556,
hudtn,1996-07-23 12:00:00,2024-10-03 02:30:00,26.309343262516816,
marce,2007-01-01 00:00:00,2024-10-03 01:15:00,8.068881172119433,4.72581753506609
gndcr,2004-01-22 18:00:00,2024-10-03 00:45:00,37.18956419056054,8.051367406270057
jacb9,1996-08-01 14:00:00,2024-08-13 13:45:00,14.84996493611799,
delsj,2001-01-01 00:15:00,2024-10-03 02:30:00,,0.541785442398073
niwol,1996-01-01 00:00:00,2024-10-03 02:00:00,2.499079305699582,1.1668881821205213
owcol,2002-04-23 09:45:00,2024-10-03 01:45:00,22.22904998507646,
nocrc,1899-12-30 00:00:00,2024-08-21 11:15:00,8.300040326740382,1.5342667813921265
wkbfr,1995-10-27 10:00:00,2024-10-03 01:00:00,8.767203736704515,
aceei,2015-01-01 00:00:00,2024-10-03 02:00:00,3.0302675932395653,
elkvm,2001-03-14 13:00:00,2024-10-02 23:00:00,2.846683060260271,
kachd,2003-01-01 00:00:00,2024-10-02 22:15:00,4.401219725158846,
owcdr,2007-08-28 07:00:00,2024-10-03 02:15:00,26.68155451855756,
elkcw,2001-01-01 00:15:00,2024-10-02 23:45:00,,2.5650292053620203
sosec,2012-01-01 00:00:00,2024-10-02 23:15:00,13.56326722268184,
hudfs,2000-01-01 12:15:00,2024-10-03 02:30:00,,1.3429659233334121
delds,2002-01-31 16:00:00,2024-09-16 09:15:00,3.7467722183097596,
narpc,1995-12-04 13:30:00,2024-10-03 01:45:00,4.641097179267429,6.088005762996759
grbor,2002-04-17 14:30:00,2024-09-13 09:15:00,29.681163552938777,
rkbfu,2002-01-01 00:00:00,2024-09-18 10:45:00,2.2661000826661533,
kacho,1899-12-30 12:30:00,2024-10-02 22:30:00,6.388015074594325,1.096351271961894
gndbc,2004-03-25 14:00:00,2024-10-03 01:00:00,1.9672858803696174,
tjros,1996-01-04 17:00:00,2024-10-02 23:30:00,4.422211473111235,
nocec,1994-05-19 18:00:00,2021-12-31 23:45:00,9.547813391731369,
cbvtc,1995-09-12 10:45:00,2024-10-03 02:30:00,3.7992428309806847,1.8608699828308661
cbvcb,2002-01-01 00:00:00,2024-09-23 10:15:00,2.910622532690863,
grbgb,1995-07-24 11:30:00,2024-09-19 12:00:00,25.93174069430938,3.421817915632424
grbgl,2005-10-13 14:00:00,2024-10-03 01:45:00,,0.7612519166591504
sapld,1999-01-01 00:00:00,2024-10-03 02:00:00,5.098149391021138,
gtmpi,2001-01-01 00:00:00,2024-09-19 08:45:00,1.9300155970589976,
sapml,1995-05-22 09:00:00,2024-10-03 02:00:00,6.970403363443367,3.7888210791436596
narts,2002-07-12 10:30:00,2024-09-24 09:00:00,3.4869552848474115,
niwta,1995-01-01 00:00:00,2024-09-24 12:00:00,3.446886929989342,
delsl,1995-07-01 00:00:00,2024-10-03 02:30:00,3.679494712103408,
wqbmp,1998-11-03 20:00:00,2024-09-18 13:00:00,24.332023195599312,
owcbr,2002-03-12 10:00:00,2024-09-10 11:45:00,21.443651156552594,
kacsd,2004-01-01 00:00:00,2024-09-04 08:15:00,1.6555745617983755,
soswi,1995-04-04 12:30:00,2024-10-02 23:15:00,4.890698043427847,
acegp,2015-01-01 00:00:00,2024-10-03 02:15:00,1.0384325281973021,
pdbgs,2003-03-28 13:30:00,2024-09-04 09:15:00,11.238038287789044,
elksm,1995-06-26 22:00:00,2024-10-02 23:15:00,4.429277812875066,
tjrsb,2008-01-01 00:00:00,2024-10-02 23:15:00,0.8792922089195566,
wellm,2002-04-02 10:00:00,2024-09-19 08:15:00,26.678009239191013,
hudsk,1995-05-19 13:00:00,2019-12-31 23:45:00,24.253773348724128,
owcsu,1995-05-24 12:00:00,2007-08-23 14:45:00,6.251095595458199,
tjrrc,2002-08-20 14:30:00,2004-11-03 16:00:00,10.224335780006202,
elknm,1999-04-15 14:30:00,2024-10-02 23:00:00,3.128035133651451,
welml,2002-03-19 09:30:00,2003-12-16 10:30:00,1.9136161146620183,
kacbc,2002-06-18 11:30:00,2003-09-24 17:30:00,14.53272604588394,
sosch,2002-04-19 16:30:00,2024-09-23 15:00:00,5.560502832730428,
grblr,1998-10-13 09:30:00,2024-10-03 02:00:00,25.166782826120887,
jacnc,2002-10-01 00:15:00,2024-10-03 02:30:00,,1.360576835852152
tjrpr,2012-02-16 11:00:00,2024-09-17 12:45:00,0.7819722650231126,
noczb,2002-03-01 12:30:00,2024-08-21 13:45:00,6.203618187964172,
kach3,2012-01-01 00:00:00,2024-09-02 11:00:00,24.26029243964522,
tjrtl,1997-05-23 15:30:00,2024-10-02 23:45:00,28.165464886000102,1.7897804956107706
welht,1995-04-04 10:30:00,2024-10-03 02:00:00,22.216242157378435,
jacb6,1996-08-06 10:00:00,2024-10-03 02:30:00,13.65720394346122,
pdbje,2009-01-01 00:00:00,2022-10-14 08:30:00,3.0929093583889062,
sosva,1999-06-03 18:00:00,2024-09-06 12:45:00,2.548691984019041,
